"1. Organisation
Name","2. Purpose 
of Spend","3. Directorate /  
Service 
Responsible","4. Start
Date","5. End
Date",6.Amount,"7. Supplier /
Beneficiary
Name","8. Registered
Number"
Rochdale Borough Council,INNOVATION FUND - QUID`S IN FINANCIAL WORKSHOPS,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£17,821.44",THE BOND BOARD LIMITED - OPERATIONAL ACCOUNT,1040176
Rochdale Borough Council,INNOVATION FUND - PROVISION OF QUALIFIED DEBT ADVISER,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£16,380.00",INSPIRE MIDDLETON,1120693
Rochdale Borough Council,INNOVATION FUND - PRIVATE RENTED SECTOR  FINANCIAL INCLUSION WORKER,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£19,436.51",THE BOND BOARD LIMITED - OPERATIONAL ACCOUNT,1040176
Rochdale Borough Council,ABEN Quarter 3 & 4,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£24,363.75",THE SANCTUARY TRUST,2721623
Rochdale Borough Council,"ABEN (STEP) Q2, Q3, Q4",NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£24,363.75",THE SANCTUARY TRUST,2721623
Rochdale Borough Council,ABEN Quarter 3 & 4,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£24,363.75",THE SANCTUARY TRUST,2721623
Rochdale Borough Council,ABEN (STEP) Quarter 1,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£24,363.75",THE SANCTUARY TRUST,2721623
Rochdale Borough Council,WHAG evening drop-in service,NEIGHBOURHOODS AND ENVIRONMENT,01/11/2023,28/02/2024,"£8,265.28",WOMENS HOUSING ACTION GROUP,1081032
Rochdale Borough Council,Rough Sleeper Outreach Service,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£175,106.00",THE SANCTUARY TRUST,2721623
Rochdale Borough Council,GRANT PAYMENT - PEF/03/23 & PF/18/23 LITTLEBOROUGH FOOD AND DRINK FESTIVAL 2024,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,937.00",LITTLEBOROUGH FOOD AND DRINK FESTIVAL,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - PEF/01/23 LITTLEBOROUGH LANTERN PARADE,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£2,793.00",LITTLEBOROUGH ARTS FESTIVAL,1156946
Rochdale Borough Council,GRANT PAYMENT - HE/01/23 HEYWOOD CHRISTMAS FESTIVAL 2023,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£4,679.55",HEYWOOD BUSINESS GROUP,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - HE/02/23 & HP/10/23 HEYWOOD CHARITIES FETE 2023,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£3,842.45",HEYWOOD CHARITIES FETE,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - HP/18/23 JACK MORTON TEAM UK AT STATE WARS 2024,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,050.00",DEVILS JUNIOR HOCKEY CLUB,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - HE/01/23 & HP/15/23 MARKET CAR PARK CLOSURE FEE FOR HEYWOOD CHRISTMAS FESTIVAL 2023,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,£200.00,HEYWOOD BUSINESS GROUP,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - HP/25/23 ARTS & SOUL CREATIVE HEALTH IN HEYWOOD,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£4,950.00",CARTWHEEL ARTS,519394
Rochdale Borough Council,GRANT PAYMENT - HP/16/23 DARNHILL COMMUNITY FESTIVAL 2024,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£4,996.00",DARNHILL FESTIVAL ASSOCIATION,1138567
Rochdale Borough Council,GRANT PAYMENT - HP/23/23 VETERAN`S PATHWAY INTO EMPLOYMENT,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£2,876.00",VETERANS INTO LOGISTICS,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - HE/02/23 & HP/10/23 HEYWOOD CHARITIES FETE 2023,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£1,459.47",HEYWOOD CHARITIES FETE,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - HP/02/23 HEYWOOD 1940`S DAY 2024,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£14,535.35",HEYWOOD BUSINESS GROUP,UNKNOWN
Rochdale Borough Council,GRANT PAYMENT - HP/05/23 HEYWOOD RUGBY LEAGUE DEVELOPMENT PROJECT,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£2,418.00",ROCHDALE HORNETS SPORTING FOUNDATION,UNKNOWN
