Rok(y) podpory,Název žadatele,Název projektu,Oblast podpory,Poskytovatel dotace,Přidělená částka [Kč],Název výzvy;;;;
"2024,""Základní škola Ostrava-Dubina, Františka Formana 45, příspěvková organizace"",Clil na Formance VI.,Oblast bilingvní a cizojazyčné výuky - výzva,Magistrát města Ostravy,223000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
"2024,""Centrum náhradní rodinné péče dětí se zdravotním hendikepem, z.s."",Pořízení přístroje AED (automatizovaného externího defibrilátoru),Oblast sociální péče,Magistrát města Ostravy,0,Mimořádná dotace";;;;
"2024,""Mateřská škola Čtyřlístek, Ostrava-Poruba, Skautská 1082, příspěvková organizace"",Angličtina ve Čtyřlístku,Oblast bilingvní a cizojazyčné výuky - výzva,Magistrát města Ostravy,96000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
"2024,""Základní škola Ostrava, Matiční 5, příspěvková organizace"",S jazyky porozumíme světu,Oblast bilingvní a cizojazyčné výuky - výzva,Magistrát města Ostravy,189000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
"2024,""Středisko pracovní rehabilitace - denní stacionář, o.p.s."",Telekomunikace,Oblast sociální péče,Magistrát města Ostravy,195000,Mimořádná dotace";;;;
"2024,""Základní škola MUDr. Emílie Lukášové a Klegova, Ostrava-Hrabůvka, příspěvková organizace"",Podpora bilingvní výuky na ZŠ formou metody CLIL 2024,Oblast bilingvní a cizojazyčné výuky - výzva,Magistrát města Ostravy,237000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
"2024,""Základní škola Ostrava, Gen. Píky 13A, příspěvková organizace"",Rozvoj jazykových kompetencí napříč předměty,Oblast bilingvní a cizojazyčné výuky - výzva,Magistrát města Ostravy,208000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
"2024,""Obchodní akademie a Vyšší odborná škola sociální, Ostrava-Mariánské Hory, příspěvková organizace"",Rozvoj konkurenceschopnosti žáků na Obchodní akademii a VOŠS v Ostravě-Mariánských Horách pomocí bilingvní a cizojazyčné výuky,Oblast bilingvní a cizojazyčné výuky - program,Magistrát města Ostravy,252000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
"2024,""AHOL - Střední odborná škola, s.r.o."",Bilingvní výuka 2024/25,Oblast bilingvní a cizojazyčné výuky - program,Magistrát města Ostravy,200000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
"2024,""Základní škola Slezská Ostrava, Bohumínská 72, příspěvková organizace"",CLIL 2024/2025 - brána jazykům otevřená,Oblast bilingvní a cizojazyčné výuky - výzva,Magistrát města Ostravy,257000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
"2024,Mgr. Leoš Ryška SDB,""Zpřístupnění Farní zahrady v Ostravě-Heřmanicích veřejnosti, 2. etapa"",Oblast revitalizace veřejného prostoru,Magistrát města Ostravy,354000,Mimořádná dotace";;;;
2024,Centrum pro zdravotně postižené Moravskoslezského kraje o.p.s.,Dostupnější osobní asistence na Ostravsku a Frýdecko-Místecku,Oblast sociální péče,Magistrát města Ostravy,68000,Mimořádná dotace;;;;
"2024,""PRAPOS, z.s."",Vybavení sociálně terapeutické dílny PRAPOS,Oblast sociální péče,Magistrát města Ostravy,112000,Mimořádná dotace";;;;
"2024,""Armáda spásy v České republice, z. s."",Odstranění bariér Adelante Ostrava,Oblast sociální péče,Magistrát města Ostravy,0,Mimořádná dotace";;;;
"2024,""Armáda spásy v České republice, z. s."",Zvýšení úrovně kvality a hygienického standardu v Azylovém domě pro ženy a matky s dětmi Adelante Ostrava,Oblast sociální péče,Magistrát města Ostravy,423000,Mimořádná dotace";;;;
2024,Charita Ostrava,Vybavení nových prostor Charitního střediska Gabriel,Oblast sociální péče,Magistrát města Ostravy,359000,Mimořádná dotace;;;;
2024,Charita Ostrava,Pořízení vybavení do Charitního domu sv. Alžběty,Oblast sociální péče,Magistrát města Ostravy,310000,Mimořádná dotace;;;;
"2024,""Základní škola a mateřská škola Ostrava-Zábřeh, Březinova 52, příspěvková organizace"",CLIL na Březince 2024-25,Oblast bilingvní a cizojazyčné výuky - výzva,Magistrát města Ostravy,207000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
2024,MIKASA z.s.,Zvýšení kvality poskytované služby Denního stacionáře MIKASA,Oblast sociální péče,Magistrát města Ostravy,400000,Mimořádná dotace;;;;
"2024,""Česká unie neslyšících, z.ú."",Spojení bez bariér,Oblast sociální péče,Magistrát města Ostravy,0,Mimořádná dotace";;;;
"2024,""Tichý svět, o.p.s."",Zlepšení kvality služby Tichého světa,Oblast sociální péče,Magistrát města Ostravy,80000,Mimořádná dotace";;;;
"2024,""W-spolek, z. s."",""Waldorfská zahrada jako prostor k pěstování nejen rostlin, ale i vztahů"",Oblast revitalizace veřejného prostoru,Magistrát města Ostravy,239000,Mimořádná dotace";;;;
2024,Modrý kříž v České republice,Zlepšování materiálně technického vybavení Poradny Ostrava,Oblast sociální péče,Magistrát města Ostravy,83000,Mimořádná dotace;;;;
