id,name,proposer,status,category,district,year,budget,image,detail,longitude,latitude,ObjectId,x,y
2466,Parková oáza Bystrce a Kníniček,Michal Beneš,nevítězný,Zeleň,Brno-Bystrc,2024,4900000,https://paro.damenavas.cz/images/project/2466/80ccb0a903d75320a882.png?v=2025-09-16+15%3A11%3A04,https://paro.damenavas.cz/project/2466,16.5317907559643,49.22829905938,523,1840310.52885489,6313688.12428439
1271,Zachraň cyklisty v ulici Šárka! (PD),Ondřej Makeš,nevítězný,Doprava,Brno-Kohoutovice,2020,400000,https://paro.damenavas.cz/images/project/1271/1a6d0efade525aa4483d.jpg?v=2025-09-16+15%3A10%3A53,https://paro.damenavas.cz/project/1271,16.551381874473,49.1940324055719,524,1842491.40219136,6307848.99384729
1277,""Bike friendly"" kruhový objezd (PD),Miroslav Siska,nevítězný,Doprava,Brno-Bystrc,2020,200000,https://paro.damenavas.cz/images/project/1277/c5622cb9cff82aa934ed.jpeg?v=2025-09-16+15%3A10%3A54,https://paro.damenavas.cz/project/1277,16.5218068330549,49.2223078078882,525,1839199.1236405,6312666.90681588
1280,Doma je doma - hledá se Senior-manager !,Jana Salvetová,nevítězný,Senioři,Brno,2020,3000000,https://paro.damenavas.cz/images/project/1280/b5dc5b5f1153e63cef7e.jpg?v=2025-09-16+15%3A10%3A53,https://paro.damenavas.cz/project/1280,16.6083100432967,49.1949744319926,526,1848828.61695659,6308009.46360876
1283,Úprava prostranství Příkop Bratislavská,Miloslav Kopeček,nevítězný,Zeleň,Brno-střed,2020,750000,https://paro.damenavas.cz/images/project/1283/e09f73d194e60b308228.jpg?v=2025-09-16+15%3A10%3A54,https://paro.damenavas.cz/project/1283,16.6148766502731,49.1986649977778,527,1849559.60830146,6308638.16353886
1288,Nové hřiště pro Vinohrady,Michal Janků,nevítězný,Děti,Brno-Vinohrady,2020,2999999,https://paro.damenavas.cz/images/project/1288/9abb1da90f2707d1cb3c.jpg?v=2025-09-16+15%3A10%3A55,https://paro.damenavas.cz/project/1288,16.6590689547506,49.2041307708387,528,1854479.07313287,6309569.36201881
1294,Víceúčelové hřiště ve Slatině - Vlárská ,Tomáš Hanzlík,nevítězný,Sport,Brno-Slatina,2020,3000000,https://paro.damenavas.cz/images/project/1294/10a422f14943c3c15cb1.jpg?v=2025-09-16+15%3A10%3A53,https://paro.damenavas.cz/project/1294,16.6745441590489,49.1825233715344,529,1856201.76499528,6305888.73082023
1299,Krytá zastávka s ostrůvkem na konečné 55,Jaromír Neužil,nevítězný,Jiné,Brno-Líšeň,2020,3000000,https://paro.damenavas.cz/images/project/1299/4103da7e0f7d18fe4ee1.jpg?v=2025-09-16+15%3A10%3A54,https://paro.damenavas.cz/project/1299,16.7159231853001,49.2033274889279,530,1860808.05712708,6309432.50120361
1300,Studie ""Cyklostezka u vozovny Komín"",Pavel Moravec,nevítězný,Doprava,Brno-Žabovřesky,2020,1000000,https://paro.damenavas.cz/images/project/1300/165107e491f31c16f955.jpg?v=2025-09-16+15%3A10%3A54,https://paro.damenavas.cz/project/1300,16.5638725295858,49.2125640308601,531,1843881.85555818,6311006.33033082
1302,"Bílé plochy chladí Brno, pilotní projekt",Michal Polanský,nevítězný,Jiné,Brno-Řečkovice a Mokrá Hora,2020,2951000,https://paro.damenavas.cz/images/project/1302/e71a51d33ca3fb0e7139.jpg?v=2025-09-16+15%3A10%3A54,https://paro.damenavas.cz/project/1302,16.5852086223035,49.2489190095133,532,1846256.97853503,6317203.77140413
