rok;mc_ic;mc_nazev;odpa;pol;uz;nazev_odpa;nazev_pol;nazev_zdroj;rozpocet_schvaleny;rozpocet_upraveny;cerpani;
2025;00063703;HMP-MČ PRAHA  6;006330;4137;000033092;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Státní rozpočet;0.00;0.00;68.26;
2025;00063703;HMP-MČ PRAHA  6;006330;4137;000098348;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Státní rozpočet;0.00;0.00;5.22;
2025;00063703;HMP-MČ PRAHA  6;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;659722.60;659722.60;149599.40;
2025;00063703;HMP-MČ PRAHA  6;006330;5347;000000081;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;450.00;0.00;
2025;00063703;HMP-MČ PRAHA  6;006330;5347;000000115;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;7883.00;0.00;
2025;00063754;HMP-MČ PRAHA  7;006330;4137;000014007;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Státní rozpočet;0.00;0.00;229.50;
2025;00063754;HMP-MČ PRAHA  7;006330;4137;000098348;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Státní rozpočet;0.00;0.00;30.52;
2025;00063754;HMP-MČ PRAHA  7;006330;4251;000000008;Převody vlastním fondům v rozpočtech územní úrovně;Inv.přev.mezi stat.měst.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;8000.00;8000.00;0.00;
2025;00063754;HMP-MČ PRAHA  7;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;254112.90;254112.90;57310.20;
2025;00063754;HMP-MČ PRAHA  7;006330;5347;000000081;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;1849.00;0.00;
2025;00063754;HMP-MČ PRAHA  7;006330;5347;000000115;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;14108.00;0.00;
2025;00063797;HMP-MČ PRAHA  8;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;687222.00;687222.00;216118.30;
2025;00063797;HMP-MČ PRAHA  8;006330;5347;000000081;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;350.00;0.00;
2025;00063797;HMP-MČ PRAHA  8;006330;5347;000000115;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;14304.00;0.00;
2025;00063894;HMP-MČ PRAHA  9;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;335617.20;335617.20;76003.40;
2025;00063894;HMP-MČ PRAHA  9;006330;5347;000000081;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;939.00;0.00;
2025;00063894;HMP-MČ PRAHA  9;006330;5347;000000115;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;363.00;0.00;
2025;00063941;HMP-MČ PRAHA 10;006330;5347;000000000;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;617037.70;617037.70;139905.70;
2025;00063941;HMP-MČ PRAHA 10;006330;5347;000000081;Převody vlastním fondům v rozpočtech územní úrovně;Neinv.přev.mezi stat.mě.vč.hl.m.Prahy a jejich m.o;Hlavní město Praha;0.00;127.00;0.00;
